word,score
sycophant,1.3616302
deadbeat,1.3591449
brute,1.3574666
coon,1.356032
scummy,1.3552398
arsehole,1.3546485
drunken,1.3538542
shitty,1.3536545
homophobe,1.3533257
subhuman,1.3517722
butchery,1.3483626
prig,1.3470124
cocky,1.3395004
imbecile,1.3392496
nutter,1.3367744
unprofessional,1.3334021
deviant,1.3323787
sheeple,1.3322148
windbag,1.3315676
immoral,1.330236
demented,1.3287472
retard,1.3270773
bullying,1.3216621
wee,1.3205517
callous,1.3204259
sadism,1.3188022
bullshit,1.3182619
ridiculous,1.3176143
dickhead,1.3173068
humbug,1.3150215
obnoxious,1.3105437
daft,1.3097051
slaver,1.3084225
injun,1.3065341
disrespectful,1.3047332
wacko,1.3029483
layabout,1.3022317
bollocks,1.3002303
mutt,1.2988526
bossy,1.2959782
egomaniacal,1.2951845
shoddy,1.293245
loathsome,1.2927032
stoopid,1.2873068
smarmy,1.2871964
doos,1.2809287
toady,1.2795319
crazed,1.2770195
schemer,1.2766574
manipulative,1.2751735
glutton,1.2727959
wee,1.2726886
pillock,1.2712102
boring,1.2699896
snob,1.2662072
dishonorable,1.2652489
brainiac,1.2628779
certifiable,1.2617338
bollock,1.2613501
dullard,1.2585194
cunning,1.2504953
spew,1.2494902
freak,1.2488937
quisling,1.2484378
devilish,1.2474929
sham,1.2443662
workaholic,1.2426425
incest,1.242539
weakling,1.2415131
honky,1.2412789
murderous,1.2411951
pompous,1.2411468
savage,1.2398523
shiz,1.2355792
harridan,1.2344701
whiny,1.2326762
butthead,1.2308588
gina,1.2284018
heathen,1.2263983
bullshit,1.2233702
cheating,1.2226239
coward,1.221767
jerk,1.2195181
dreadful,1.2183924
grouch,1.2183136
inhumane,1.2148607
underhanded,1.2141858
jealous,1.2121683
prig,1.2108499
lying,1.2105311
lecher,1.2103262
contemptible,1.2097694
pogue,1.2064813
scary,1.2051233
naughty,1.2047538
faker,1.2040209
scissor,1.2018849
screwy,1.2000025
senseless,1.1990277
claptrap,1.1911543
bullshit,1.1908142
ruffian,1.1883231
